RID,Signaltype
R00001,3
R00002,0
R00003,1
R00004,8
R00005,24
R00006,30
R00007,0
R00008,21
R00009,18
R00010,25
R00011,1
R00012,3
R00013,6
R00014,16
R00015,25
R00016,0
R00017,12
R00018,19
R00019,16
R00020,30
R00021,24
R00022,8
R00023,29
R00024,15
R00025,15
R00026,24
R00027,10
R00028,19
R00029,13
R00030,10
R00031,11
R00032,21
R00033,28
R00034,10
R00035,10
R00036,26
R00037,7
R00038,30
R00039,11
R00040,21
R00041,12
R00042,12
R00043,19
R00044,1
R00045,11
R00046,27
R00047,10
R00048,25
R00049,3
R00050,0
R00051,14
R00052,27
R00053,22
R00054,12
R00055,23
R00056,26
R00057,28
R00058,29
R00059,4
R00060,0
R00061,19
R00062,3
R00063,27
R00064,16
R00065,8
R00066,30
R00067,22
R00068,24
R00069,26
R00070,7
R00071,11
R00072,14
R00073,19
R00074,21
R00075,21
R00076,27
R00077,15
R00078,16
R00079,13
R00080,21
R00081,6
R00082,0
R00083,20
R00084,30
R00085,30
R00086,26
R00087,10
R00088,0
R00089,20
R00090,11
R00091,27
R00092,1
R00093,25
R00094,23
R00095,10
R00096,21
R00097,14
R00098,7
R00099,19
R00100,15
R00101,12
R00102,23
R00103,19
R00104,25
R00105,2
R00106,11
R00107,13
R00108,30
R00109,29
R00110,30
R00111,29
R00112,15
R00113,21
R00114,27
R00115,22
R00116,28
R00117,3
R00118,23
R00119,12
R00120,9
R00121,19
R00122,6
R00123,22
R00124,4
R00125,27
R00126,16
R00127,28
R00128,18
R00129,25
R00130,27
R00131,22
R00132,16
R00133,1
R00134,4
R00135,15
R00136,25
R00137,2
R00138,9
R00139,26
R00140,21
R00141,17
R00142,27
R00143,14
R00144,5
R00145,28
R00146,14
R00147,30
R00148,3
R00149,15
R00150,21
R00151,17
R00152,7
R00153,7
R00154,6
R00155,5
R00156,24
R00157,30
R00158,21
R00159,22
R00160,2
R00161,3
R00162,13
R00163,22
R00164,0
R00165,5
R00166,29
R00167,29
R00168,10
R00169,28
R00170,12
R00171,24
R00172,8
R00173,7
R00174,23
R00175,8
R00176,21
R00177,15
R00178,30
R00179,28
R00180,21
R00181,3
R00182,21
R00183,4
R00184,29
R00185,17
R00186,20
R00187,23
R00188,15
R00189,2
R00190,25
R00191,22
R00192,10
R00193,27
R00194,7
R00195,29
R00196,18
R00197,24
R00198,29
R00199,19
R00200,2
R00201,20
R00202,10
R00203,12
R00204,29
R00205,22
R00206,23
R00207,23
R00208,23
R00209,12
R00210,20
R00211,20
R00212,25
R00213,17
R00214,30
R00215,27
R00216,13
R00217,25
R00218,7
R00219,7
R00220,8
R00221,3
R00222,9
R00223,2
R00224,3
R00225,2
R00226,10
R00227,23
R00228,18
R00229,29
R00230,6
R00231,23
R00232,30
R00233,3
R00234,18
R00235,11
R00236,4
R00237,27
R00238,10
R00239,30
R00240,12
R00241,18
R00242,23
R00243,0
R00244,9
R00245,1
R00246,18
R00247,17
R00248,6
R00249,27
R00250,12
R00251,13
R00252,10
R00253,24
R00254,11
R00255,25
R00256,21
R00257,29
R00258,25
R00259,4
R00260,16
R00261,21
R00262,19
R00263,18
R00264,7
R00265,3
R00266,12
R00267,0
R00268,17
R00269,27
R00270,14
R00271,10
R00272,4
R00273,26
R00274,30
R00275,9
R00276,26
R00277,7
R00278,15
R00279,21
R00280,14
R00281,4
R00282,19
R00283,9
R00284,4
R00285,23
R00286,21
R00287,27
R00288,25
R00289,26
R00290,22
R00291,1
R00292,19
R00293,10
R00294,9
R00295,16
R00296,22
R00297,3
R00298,8
R00299,27
R00300,22
R00301,18
R00302,15
R00303,20
R00304,26
R00305,6
R00306,15
R00307,9
R00308,22
R00309,30
R00310,12
R00311,1
R00312,25
R00313,10
R00314,4
R00315,26
R00316,22
R00317,6
R00318,27
R00319,23
R00320,29
R00321,25
R00322,7
R00323,22
R00324,23
R00325,1
R00326,29
R00327,27
R00328,24
R00329,5
R00330,27
R00331,15
R00332,23
R00333,12
R00334,9
R00335,26
R00336,21
R00337,29
R00338,27
R00339,5
R00340,0
R00341,17
R00342,12
R00343,10
R00344,13
R00345,21
R00346,15
R00347,11
R00348,24
R00349,12
R00350,12
R00351,2
R00352,16
R00353,23
R00354,9
R00355,9
R00356,22
R00357,29
R00358,6
R00359,22
R00360,27
R00361,17
R00362,12
R00363,3
R00364,4
R00365,10
R00366,24
R00367,25
R00368,18
R00369,27
R00370,25
R00371,1
R00372,27
R00373,29
R00374,22
R00375,9
R00376,14
R00377,20
R00378,5
R00379,18
R00380,4
R00381,14
R00382,22
R00383,15
R00384,9
R00385,28
R00386,4
R00387,6
R00388,6
R00389,25
R00390,23
R00391,6
R00392,23
R00393,20
R00394,0
R00395,11
R00396,23
R00397,27
R00398,18
R00399,3
R00400,21
R00401,25
R00402,27
R00403,4
R00404,12
R00405,30
R00406,13
R00407,21
R00408,26
R00409,5
R00410,29
R00411,1
R00412,3
R00413,11
R00414,15
R00415,5
R00416,30
R00417,1
R00418,3
R00419,16
R00420,20
R00421,10
R00422,18
R00423,13
R00424,4
R00425,20
R00426,23
R00427,12
R00428,7
R00429,1
R00430,3
R00431,7
R00432,12
R00433,15
R00434,9
R00435,22
R00436,19
R00437,30
R00438,5
R00439,20
R00440,23
R00441,12
R00442,24
R00443,22
R00444,25
R00445,21
R00446,21
R00447,2
R00448,24
R00449,14
R00450,27
R00451,26
R00452,20
R00453,12
R00454,8
R00455,20
R00456,20
R00457,14
R00458,11
R00459,0
R00460,3
R00461,3
R00462,2
R00463,3
R00464,15
R00465,20
R00466,21
R00467,29
R00468,16
R00469,7
R00470,0
R00471,18
R00472,18
R00473,18
R00474,15
R00475,8
R00476,22
R00477,23
R00478,3
R00479,25
R00480,18
R00481,5
R00482,12
R00483,15
R00484,20
R00485,22
R00486,13
R00487,9
R00488,18
R00489,4
R00490,3
R00491,10
R00492,2
R00493,22
R00494,29
R00495,27
R00496,25
R00497,17
R00498,5
R00499,12
R00500,26
R00501,22
R00502,0
R00503,12
R00504,17
R00505,26
R00506,17
R00507,25
R00508,25
R00509,16
R00510,15
R00511,2
R00512,16
R00513,26
R00514,18
R00515,17
R00516,22
R00517,26
R00518,25
R00519,20
R00520,3
R00521,24
R00522,24
R00523,6
R00524,30
R00525,21
R00526,28
R00527,3
R00528,5
R00529,27
R00530,19
R00531,22
R00532,5
R00533,0
R00534,17
R00535,14
R00536,25
R00537,10
R00538,3
R00539,1
R00540,4
R00541,18
R00542,6
R00543,20
R00544,5
R00545,2
R00546,17
R00547,8
R00548,27
R00549,24
R00550,1
R00551,2
R00552,3
R00553,16
R00554,9
R00555,11
R00556,30
R00557,17
R00558,5
R00559,13
R00560,30
R00561,21
R00562,0
R00563,7
R00564,9
R00565,1
R00566,30
R00567,30
R00568,16
R00569,28
R00570,25
R00571,9
R00572,21
R00573,17
R00574,14
R00575,4
R00576,18
R00577,15
R00578,22
R00579,10
R00580,16
R00581,29
R00582,11
R00583,19
R00584,17
R00585,16
R00586,6
R00587,22
R00588,3
R00589,21
R00590,26
R00591,1
R00592,7
R00593,1
R00594,6
R00595,4
R00596,9
R00597,27
R00598,26
R00599,6
R00600,30
R00601,4
R00602,19
R00603,17
R00604,6
R00605,18
R00606,11
R00607,8
R00608,4
R00609,23
R00610,19
R00611,13
R00612,2
R00613,17
R00614,8
R00615,8
R00616,12
R00617,20
R00618,28
R00619,5
R00620,12
R00621,14
R00622,2
R00623,30
R00624,8
R00625,21
R00626,13
R00627,30
R00628,22
R00629,4
R00630,17
R00631,6
R00632,2
R00633,20
R00634,23
R00635,8
R00636,20
R00637,22
R00638,20
R00639,6
R00640,22
R00641,11
R00642,18
R00643,21
R00644,20
R00645,26
R00646,16
R00647,19
R00648,5
R00649,13
R00650,26
R00651,4
R00652,10
R00653,25
R00654,13
R00655,12
R00656,0
R00657,30
R00658,19
R00659,7
R00660,2
R00661,8
R00662,3
R00663,17
R00664,3
R00665,21
R00666,17
R00667,13
R00668,2
R00669,10
R00670,20
R00671,2
R00672,11
R00673,29
R00674,10
R00675,24
R00676,8
R00677,4
R00678,27
R00679,25
R00680,7
R00681,8
R00682,0
R00683,3
R00684,12
R00685,7
R00686,12
R00687,30
R00688,3
R00689,25
R00690,29
R00691,3
R00692,5
R00693,16
R00694,23
R00695,28
R00696,9
R00697,18
R00698,26
R00699,25
R00700,15
R00701,3
R00702,16
R00703,11
R00704,22
R00705,18
R00706,27
R00707,9
R00708,17
R00709,8
R00710,19
R00711,3
R00712,28
R00713,1
R00714,5
R00715,10
R00716,30
R00717,24
R00718,12
R00719,5
R00720,11
R00721,25
R00722,23
R00723,21
R00724,30
R00725,25
R00726,17
R00727,17
R00728,19
R00729,28
R00730,27
R00731,12
R00732,15
R00733,18
R00734,4
R00735,8
R00736,0
R00737,21
R00738,16
R00739,22
R00740,4
R00741,21
R00742,4
R00743,4
R00744,12
R00745,18
R00746,23
R00747,8
R00748,1
R00749,29
R00750,23
